country,pdf_name,path,link
Austria,cyberstrategie2021_en.pdf,Austria/cyberstrategie2021_en.pdf,https://www.bundeskanzleramt.gv.at/dam/jcr:29c42767-3198-45e9-94c0-0ef2348430b3/cyberstrategie2021_en.pdf
Belgium,CCB_Strategie%202.pdf,Belgium/CCB_Strategie%202.pdf,https://ccb.belgium.be/sites/default/files/CCB_Strategie%202.0_UK_WEB.pdf
Bulgaria,NCS_organisation_LUX-2021-FINAL.pdf,Bulgaria/NCS_organisation_LUX-2021-FINAL.pdf,https://ccdcoe.org/uploads/2021/05/NCS_organisation_LUX-2021-FINAL.pdf
Bulgaria,whitepaperondefence2011_2-1.pdf,Bulgaria/whitepaperondefence2011_2-1.pdf,https://ccdcoe.org/uploads/2018/10/whitepaperondefence2011_2-1.pdf
Bulgaria,Bulgaria_National-Defense-Strategy_2011_English-1.pdf,Bulgaria/Bulgaria_National-Defense-Strategy_2011_English-1.pdf,https://ccdcoe.org/uploads/2018/10/Bulgaria_National-Defense-Strategy_2011_English-1.pdf
Cyprus,cmm_cyprus_report_2017_final.pdf,Cyprus/cmm_cyprus_report_2017_final.pdf,https://dsa.cy/images/pdf-upload/cmm_cyprus_report_2017_final.pdf
Czech Republic,ncss_2015-2020_en.pdf,Czech_Republic/ncss_2015-2020_en.pdf,https://www.nukib.cz/download/publications_en/strategy_action_plan/ncss_2015-2020_en.pdf
Czech Republic,action_plan_cs_2012-2015_en.pdf,Czech_Republic/action_plan_cs_2012-2015_en.pdf,https://www.nukib.cz/download/publications_en/strategy_action_plan/action_plan_cs_2012-2015_en.pdf
Czech Republic,4810880_2934377_PublicationPragueConferenceProceedings_2009.pdf,Czech_Republic/4810880_2934377_PublicationPragueConferenceProceedings_2009.pdf,https://www.mzv.cz/public/65/e7/87/4810880_2934377_PublicationPragueConferenceProceedings_2009.pdf
Czech Republic,Security_Strategy_of_the_Czech_Republic_2023.pdf,Czech_Republic/Security_Strategy_of_the_Czech_Republic_2023.pdf,https://www.mzv.cz/file/5161068/Security_Strategy_of_the_Czech_Republic_2023.pdf
Czech Republic,MZV_BS_A4_brochure_WEB_ENG.pdf,Czech_Republic/MZV_BS_A4_brochure_WEB_ENG.pdf,https://www.mzv.cz/file/5119429/MZV_BS_A4_brochure_WEB_ENG.pdf
Belgium,CCB_Strategie%202.pdf,Belgium/CCB_Strategie%202.pdf,https://ccb.belgium.be/sites/default/files/CCB_Strategie%202.0_UK_WEB.pdf
