Country,file_name,_dlc_DocIdItemGuid,Design ,Author,Keywords,CreationDate,Accessible PDF ,Producer,Subject,MSIP_Label_ba62f585-b40f-4ab9-bafe-39150f03d124_Name,GTS_PDFXConformance,Category,ContentTypeId,Comments,MSIP_Label_ba62f585-b40f-4ab9-bafe-39150f03d124_SetDate,ModDate,Creator,Company,XPressPrivate,Accessible PDF,AuthorIds_UIVersion_2,MSIP_Label_ba62f585-b40f-4ab9-bafe-39150f03d124_ActionId,Business Unit,SourceModified,Typesetting ,AuthorIds_UIVersion_3,Title,Trapped,GTS_PDFXVersion
Latvia,CS_organisation_HUNGARY_2015-10-12-2.pdf,,,,,,,D:20151020120130+03'00',,Microsoft® Word 2010,,,,,,,,D:20151020120130+03'00',Microsoft® Word 2010,,,,,,,,,,,,
Latvia,CS_organisation_CHINA_092016_FINAL-2.pdf,,,,,,,D:20161010173507+03'00',,Microsoft® Word 2013,,,,,,,,D:20161010173507+03'00',Microsoft® Word 2013,,,,,,,,,,,,
Latvia,CS_organisation_LITHUANIA_092015-2.pdf,,,,,,,D:20151019141011+03'00',,Microsoft® Word 2010,,,,,,,,D:20151019141011+03'00',Microsoft® Word 2010,,,,,,,,,,,,
Latvia,FIN_Finnish_Security_Defence_Policy_2012_Government_Report.pdf,,,,,,"Finland,Defense Planning,Defense Policy,National Security,National Security Threats,Security Policy,Government Report / Research / White Paper",D:20130416073757+03'00',,Acrobat Distiller 8.3.1 (Windows),,,,,,,,D:20150415155100+01'00',Adobe InDesign CS5 (7.0.3),,,,,,,,,,Finnish Security and Defence Policy 2012,/False,
Latvia,PLAW-115publ91.pdf,,,,,,,D:20180616004830-04'00',,Acrobat Distiller 10.1.16 (Windows),,,,,,,,D:20201229112802-05'00',ACOMP.exe   WinVer 2.2a  Sep 11 2014,,,,,,,,,,PUBL091.PS,,
Latvia,Slovenia_country_report_final_for_publication_August_2021.pdf,,,,,Damjan Štrucl,,D:20210825110916+03'00',,Microsoft® Word 2016,,,,,,,,D:20210825110917+03'00',Microsoft® Word 2016,,,,,,,,,,,,
Latvia,NCS_organisation_LUX-2021-FINAL.pdf,,,,,,,D:20210505160447+03'00',,Microsoft® Word 2016,,,,,,,,D:20210505160450+03'00',Microsoft® Word 2016,,,,,,,,,,,,
Latvia,Kiberdrosibas%20strategija%202023%20ENG.pdf,,,,,,,D:20230609091846+03'00',,Adobe PDF Library 17.0,,,,,,,,D:20230627152442+03'00',Adobe InDesign 18.3 (Macintosh),,,,,,,,,,,/False,
Latvia,Valsts%20aizsardzibas%20koncepcija_ENG_0.pdf,,,,,,,D:20210113135410+02'00',,Adobe PDF Library 15.0,,,,,,,,D:20210113135415+02'00',Adobe InDesign 16.0 (Macintosh),,,,,,,,,,,/False,
Latvia,Kiberdrosibas_strategija%20EN_0.pdf,,,,,,,D:20140725111402+03'00',,Adobe PDF Library 10.0.1,,,,,,,,D:20140813095350+03'00',Adobe InDesign CS6 (Windows),,,,,,,,,,,/False,
Latvia,Public_report_2022.pdf,,,,,,,D:20230303094436+02'00',,Adobe PDF Library 17.0,,,,,,,,D:20230303094447+02'00',Adobe InDesign 18.1 (Macintosh),,,,,,,,,,,/False,
Australia,The%20Strategy.pdf,,,,CRE8TIVE,Australian Government - Department of Foreign Affairs and Trade,,D:20170922153332+10'00',Keep Creative,Adobe PDF Library 15.0,,,,,,,,D:20171024091009+11'00',Adobe InDesign CC 2017 (Macintosh),,,,,,,,Keep Creative,,Australia’s International Cyber Engagement Strategy,/False,
Australia,Annual_Report_Australian_Digital_Health_Agency_2016-2017_Online.pdf,,,,,,,D:20171106115029+11'00',,Adobe PDF Library 15.0,,,,,,,,D:20171106115159+11'00',Adobe InDesign CC 13.0 (Macintosh),,,,,,,,,,,/False,
Australia,national-identity-proofing-guidelines.pdf,,,,,,,D:20160229162743+11'00',,Adobe PDF Library 10.0.1,,,,,,,,D:20160307145830+11'00',Adobe InDesign CS6 (Windows),,,,,,,,,,National Identity Proofing Guidelines,/False,
Australia,cyber-security-strategy-2020.pdf,,,,,Australian Government,,D:20200805193858+10'00',,Adobe PDF Library 15.0,,,,,,,,D:20200811124455+10'00',Adobe InDesign 15.1 (Windows),,,,,,,,,,Australia’s Cyber Security Strategy 2020,/False,
Australia,PMC-Cyber-Strategy.pdf,,,,,Australian Government,,D:20160505162933+10'00',,Adobe PDF Library 15.0,,,,,,,,D:20160505164624+10'00',Adobe InDesign CC 2015 (Macintosh),,,"Keep Creative, Canberra",,,,,,,Australia’s Cyber Security Strategy,/False,
Australia,cyber-security-strategy-2020-annual-report-2021.pdf,,,,,Department of Home Affairs,,D:20210713163700+10'00',,Adobe PDF Library 15.0,,,,,,,,D:20210714095412+10'00',Adobe InDesign 16.3 (Macintosh),,,,,,,,,,Australia's Cyber Security Strategy 2020 — Cyber Security Industry Advisory Committee Annual Report 2021,/False,
Australia,cyber-security-IAC-annual-report-2022.pdf,,,,,Department of Home Affairs,,D:20220824095743+10'00',,Adobe PDF Library 16.0.7,,,,,,,,D:20220824160027+10'00',Adobe InDesign 17.4 (Macintosh),,,,,,,,,,Australia's Cyber Security Strategy 2020 - Cyber Security Industry Advisory Committee Annual Report 2022,/False,
