country,pdf_name,path,link
Latvia,CS_organisation_HUNGARY_2015-10-12-2.pdf,Latvia/CS_organisation_HUNGARY_2015-10-12-2.pdf,https://ccdcoe.org/uploads/2018/10/CS_organisation_HUNGARY_2015-10-12-2.pdf
Latvia,CS_organisation_CHINA_092016_FINAL-2.pdf,Latvia/CS_organisation_CHINA_092016_FINAL-2.pdf,https://ccdcoe.org/uploads/2018/10/CS_organisation_CHINA_092016_FINAL-2.pdf
Latvia,NDK_ENG_final.pdf,Latvia/NDK_ENG_final.pdf,https://www.mod.gov.lv/sites/mod/files/document/NDK_ENG_final.pdf
Latvia,CS_organisation_LITHUANIA_092015-2.pdf,Latvia/CS_organisation_LITHUANIA_092015-2.pdf,https://ccdcoe.org/uploads/2018/10/CS_organisation_LITHUANIA_092015-2.pdf
Latvia,FIN_Finnish_Security_Defence_Policy_2012_Government_Report.pdf,Latvia/FIN_Finnish_Security_Defence_Policy_2012_Government_Report.pdf,https://www.bbn.gov.pl/ftp/dok/07/FIN_Finnish_Security_Defence_Policy_2012_Government_Report.pdf
Latvia,PLAW-115publ91.pdf,Latvia/PLAW-115publ91.pdf,https://www.congress.gov/115/plaws/publ91/PLAW-115publ91.pdf
Latvia,Slovenia_country_report_final_for_publication_August_2021.pdf,Latvia/Slovenia_country_report_final_for_publication_August_2021.pdf,https://ccdcoe.org/uploads/2021/08/Slovenia_country_report_final_for_publication_August_2021.pdf
Latvia,NCS_organisation_LUX-2021-FINAL.pdf,Latvia/NCS_organisation_LUX-2021-FINAL.pdf,https://ccdcoe.org/uploads/2021/05/NCS_organisation_LUX-2021-FINAL.pdf
Latvia,Kiberdrosibas%20strategija%202023%20ENG.pdf,Latvia/Kiberdrosibas%20strategija%202023%20ENG.pdf,https://www.mod.gov.lv/sites/mod/files/document/Kiberdrosibas%20strategija%202023%20ENG.pdf
Latvia,Valsts%20aizsardzibas%20koncepcija_ENG_0.pdf,Latvia/Valsts%20aizsardzibas%20koncepcija_ENG_0.pdf,https://www.mod.gov.lv/sites/mod/files/document/Valsts%20aizsardzibas%20koncepcija_ENG_0.pdf
Latvia,Kiberdrosibas_strategija%20EN_0.pdf,Latvia/Kiberdrosibas_strategija%20EN_0.pdf,https://www.mod.gov.lv/sites/mod/files/document/Kiberdrosibas_strategija%20EN_0.pdf

Latvia,Public_report_2022.pdf,Latvia/Public_report_2022.pdf,https://www.sab.gov.lv/files/Public_report_2022.pdf

Australia,The%20Strategy.pdf,Australia/The%20Strategy.pdf,https://www.internationalcybertech.gov.au/sites/default/files/2020-11/The%20Strategy.pdf

Australia,Annual_Report_Australian_Digital_Health_Agency_2016-2017_Online.pdf,Australia/Annual_Report_Australian_Digital_Health_Agency_2016-2017_Online.pdf,https://www.digitalhealth.gov.au/sites/default/files/2020-10/Annual_Report_Australian_Digital_Health_Agency_2016-2017_Online.pdf

Australia,national-identity-proofing-guidelines.pdf,Australia/national-identity-proofing-guidelines.pdf,https://www.homeaffairs.gov.au/criminal-justice/files/national-identity-proofing-guidelines.pdf

Australia,cyber-security-strategy-2020.pdf,Australia/cyber-security-strategy-2020.pdf,https://www.homeaffairs.gov.au/cyber-security-subsite/files/cyber-security-strategy-2020.pdf

Australia,PMC-Cyber-Strategy.pdf,Australia/PMC-Cyber-Strategy.pdf,https://www.homeaffairs.gov.au/cyber-security-subsite/files/PMC-Cyber-Strategy.pdf

Australia,cyber-security-strategy-2020-annual-report-2021.pdf,Australia/cyber-security-strategy-2020-annual-report-2021.pdf,https://www.homeaffairs.gov.au/cyber-security-subsite/files/cyber-security-strategy-2020-annual-report-2021.pdf

